Sample_ID	Experiment	Flow cell	Plasmid	Total plasmids in sample	Linear	Nick	Txn	RnaseH	Co-SSB	Post-SSB	Co-RPA	Linearization post txn	Deprotienize post Co-RPA	Transcription_Date	T4_ligase_repair_date	PCR1_date	PCR cleaup method	Fwd_primer	Rev_primer
PBEH2-57	5	A	pFC53	1	-	-	-	-	+	-	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-3	PacBioRevV2-27-P9
PBEH2-58	5	A	pFC53	1	-	-	+	-	+	-	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-4	PacBioRevV2-27-P9
PBEH2-59	5	A	pFC53	1	-	-	+	-	-	+	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-5	PacBioRevV2-27-P9
PBEH2-60	5	A	pFC53	1	-	-	+	+	+	-	-	-	-	9/18/23	11/7/23	11/8/23	Gel extraction and electro-elution	PacBioFwdV2-0	PacBioRevV2-27-P9
PBEH2-61	6	A	T3termsh VRmix	31	-	-	-	-	-	-	-	-	-	9/21/23	11/7/23	11/13/23	Gel extraction and electro-elution	PacBioFwdV2-1	PacBioRevV2-2
PBEH2-62	6	A	T3termsh VRmix	31	-	-	+	-	-	-	-	-	-	9/21/23	11/7/23	11/13/23	Gel extraction and electro-elution	PacBioFwdV2-2	PacBioRevV2-2
PBEH2-63	6	A	T3termsh VRmix	31	-	-	+	+	-	-	-	-	-	9/21/23	11/7/23	11/13/23	Gel extraction and electro-elution	PacBioFwdV2-3	PacBioRevV2-2
PBEH2-64	6	A	T3termsh VRmix	31	ScaI	-	-	-	-	-	-	-	-	9/21/23	11/7/23	11/13/23	Gel extraction and electro-elution	PacBioFwdV2-4	PacBioRevV2-2
PBEH2-65	6	A	T3termsh VRmix	31	ScaI	-	+	-	-	-	-	-	-	9/21/23	11/7/23	11/13/23	Gel extraction and electro-elution	PacBioFwdV2-5	PacBioRevV2-2
PBEH2-66	6	A	T3termsh VRmix	31	ScaI	-	+	+	-	-	-	-	-	9/21/23	11/7/23	11/13/23	Gel extraction and electro-elution	PacBioFwdV2-6	PacBioRevV2-0
PBEH2-67	7	B	pFC8T1T2init VRmix	31	-	-	-	-	-	-	-	-	-	11/3/23	11/7/23	11/13/23	Gel extraction and electro-elution	PacBioFwdV2-7	PacBioRevV2-5
PBEH2-68	7	B	pFC8T1T2init VRmix	31	-	-	+	-	-	-	-	-	-	11/3/23	11/7/23	11/13/23	Gel extraction and electro-elution	PacBioFwdV2-8	PacBioRevV2-5
